Country,Year,fertility,life,population,child_mortality,gdp,region
Afghanistan,1964,7.671,33.639,10474903.0,339.7,1182.0,South Asia
Afghanistan,1965,7.671,34.152,10697983.0,334.1,1182.0,South Asia
Afghanistan,1966,7.671,34.662,10927724.0,328.7,1168.0,South Asia
Afghanistan,1967,7.671,35.17,11163656.0,323.3,1173.0,South Asia
Afghanistan,1968,7.671,35.674,11411022.0,318.1,1187.0,South Asia
Afghanistan,1969,7.671,36.172,11676990.0,313.0,1178.0,South Asia
Afghanistan,1970,7.671,36.663000000000004,11964906.0,307.8,1174.0,South Asia
Afghanistan,1971,7.671,37.143,12273101.0,302.1,1092.0,South Asia
Afghanistan,1972,7.671,37.614000000000004,12593688.0,296.4,1046.0,South Asia
Afghanistan,1973,7.671,38.075,12915499.0,290.8,1137.0,South Asia
Afghanistan,1974,7.671,38.529,13223928.0,284.9,1170.0,South Asia
Afghanistan,1975,7.671,38.977,13505544.0,279.4,1201.0,South Asia
Afghanistan,1976,7.67,39.417,13766792.0,273.6,1231.0,South Asia
Afghanistan,1977,7.67,39.855,14003408.0,267.8,1119.0,South Asia
Afghanistan,1978,7.67,40.298,14179656.0,261.6,1179.0,South Asia
Afghanistan,1979,7.669,40.756,14249493.0,255.5,1155.0,South Asia
Afghanistan,1980,7.669,41.242,14185729.0,249.1,1158.0,South Asia
Afghanistan,1981,7.67,41.77,13984092.0,242.7,1284.0,South Asia
Afghanistan,1982,7.671,42.347,13672870.0,236.2,1402.0,South Asia
Afghanistan,1983,7.672999999999999,42.977,13300056.0,229.7,1454.0,South Asia
Afghanistan,1984,7.676,43.661,12931791.0,222.9,1429.0,South Asia
Afghanistan,1985,7.678999999999999,44.4,12625292.0,216.0,1384.0,South Asia
Afghanistan,1986,7.681,45.192,12372113.0,209.2,1486.0,South Asia
Afghanistan,1987,7.682,46.023999999999994,12183387.0,202.1,1230.0,South Asia
Afghanistan,1988,7.682,46.88,12156685.0,195.0,1113.0,South Asia
Afghanistan,1989,7.682,47.744,12414686.0,187.8,1087.0,South Asia
